sample	compartment	n_models	n_invalid_orf	pct_invalid_orf
Cx_pallens	core	11681	2785	23.84
Cx_pallens	shell	1972	1006	51.01
Cx_pallens	cloud	108	108	100.0
Cx_pallens	unassigned	345	342	99.13
Cx_molestus	core	11664	3180	27.26
Cx_molestus	shell	1855	1065	57.41
Cx_molestus	cloud	155	154	99.35
Cx_molestus	unassigned	452	443	98.01
Cx_pipiens	core	11747	3104	26.42
Cx_pipiens	shell	2226	1165	52.34
Cx_pipiens	cloud	152	142	93.42
Cx_pipiens	unassigned	364	357	98.08
Cx_tarsalis	core	7574	5035	66.48
Cx_tarsalis	shell	1633	1302	79.73
Cx_tarsalis	cloud	492	470	95.53
Cx_tarsalis	outgroup_only	85	82	96.47
Cx_tarsalis	unassigned	2081	2069	99.42
