orthogroup	pvalue	Significant at 0.05
OG0000000	0.039	y
OG0000006	0.001	y
OG0000009	0.0	y
OG0000010	0.0	y
OG0000011	0.0	y
OG0000012	0.024	y
OG0000014	0.0	y
OG0000015	0.0	y
OG0000019	0.007	y
OG0000023	0.0	y
OG0000024	0.005	y
OG0000029	0.042	y
OG0000032	0.006	y
OG0000034	0.001	y
OG0000045	0.019	y
OG0000051	0.0	y
OG0000058	0.001	y
OG0000075	0.033	y
OG0000082	0.001	y
OG0000083	0.0	y
OG0000084	0.001	y
OG0000086	0.019	y
OG0000089	0.005	y
OG0000090	0.034	y
OG0000096	0.0	y
OG0000100	0.0	y
OG0000110	0.001	y
OG0000120	0.015	y
OG0000123	0.01	y
OG0000124	0.025	y
OG0000125	0.035	y
OG0000128	0.0	y
OG0000131	0.007	y
OG0000137	0.019	y
OG0000145	0.035	y
OG0000149	0.002	y
OG0000158	0.026	y
OG0000166	0.015	y
OG0000185	0.035	y
OG0000197	0.015	y
OG0000199	0.026	y
OG0000205	0.034	y
OG0000206	0.015	y
OG0000210	0.015	y
OG0000211	0.001	y
OG0000213	0.001	y
OG0000218	0.004	y
OG0000237	0.01	y
OG0000239	0.027	y
OG0000243	0.035	y
OG0000269	0.01	y
OG0000282	0.001	y
OG0000295	0.0	y
OG0000296	0.0	y
OG0000300	0.01	y
OG0000306	0.003	y
OG0000310	0.004	y
OG0000314	0.004	y
OG0000334	0.016	y
OG0000346	0.026	y
OG0000355	0.026	y
OG0000359	0.004	y
OG0000361	0.009	y
OG0000362	0.026	y
OG0000365	0.002	y
OG0000366	0.014	y
OG0000367	0.003	y
OG0000371	0.01	y
OG0000372	0.001	y
OG0000376	0.002	y
OG0000381	0.014	y
OG0000385	0.026	y
OG0000391	0.026	y
OG0000399	0.002	y
OG0000408	0.006	y
OG0000409	0.001	y
OG0000424	0.014	y
OG0000425	0.001	y
OG0000449	0.022	y
OG0000474	0.001	y
OG0000490	0.016	y
OG0000508	0.002	y
OG0000532	0.002	y
OG0000538	0.0	y
OG0000550	0.004	y
OG0000588	0.004	y
OG0000611	0.001	y
OG0000624	0.024	y
OG0000657	0.022	y
OG0000658	0.006	y
OG0000659	0.022	y
OG0000663	0.006	y
OG0000664	0.045	y
OG0000669	0.028	y
OG0000671	0.002	y
OG0000687	0.001	y
OG0000701	0.005	y
OG0000710	0.022	y
OG0000712	0.001	y
OG0000714	0.022	y
OG0000726	0.022	y
OG0000729	0.004	y
OG0000738	0.004	y
OG0000747	0.022	y
OG0000765	0.022	y
OG0000768	0.024	y
OG0000781	0.045	y
OG0000784	0.004	y
OG0000807	0.004	y
OG0000808	0.022	y
OG0000848	0.022	y
OG0000881	0.028	y
OG0000887	0.028	y
OG0000890	0.008	y
OG0000892	0.024	y
OG0000893	0.028	y
OG0000903	0.028	y
OG0000905	0.008	y
OG0000915	0.045	y
OG0000920	0.008	y
OG0000923	0.028	y
OG0000925	0.045	y
OG0000927	0.028	y
OG0000929	0.002	y
OG0000930	0.024	y
OG0000940	0.028	y
OG0000941	0.002	y
OG0000942	0.024	y
OG0000952	0.002	y
OG0000953	0.024	y
OG0000954	0.028	y
OG0000971	0.033	y
OG0000974	0.008	y
OG0000978	0.008	y
OG0000988	0.024	y
OG0000989	0.009	y
OG0000993	0.006	y
OG0001003	0.028	y
OG0001005	0.008	y
OG0001007	0.004	y
OG0001008	0.033	y
OG0001011	0.002	y
OG0001016	0.024	y
OG0001017	0.004	y
OG0001018	0.001	y
OG0001021	0.024	y
OG0001033	0.022	y
OG0001048	0.004	y
OG0001049	0.028	y
OG0001055	0.028	y
OG0001056	0.022	y
OG0001062	0.028	y
OG0001068	0.024	y
OG0001070	0.028	y
OG0001071	0.024	y
OG0001076	0.002	y
OG0001082	0.0	y
OG0001083	0.033	y
OG0001084	0.008	y
OG0001087	0.008	y
OG0001102	0.008	y
OG0001104	0.033	y
OG0001118	0.033	y
OG0001149	0.033	y
OG0001157	0.001	y
OG0001161	0.028	y
OG0001165	0.024	y
OG0001167	0.024	y
OG0001168	0.024	y
OG0001170	0.024	y
OG0001177	0.028	y
OG0001182	0.008	y
OG0001187	0.028	y
OG0001189	0.008	y
OG0001191	0.028	y
OG0001194	0.045	y
OG0001195	0.028	y
OG0001196	0.024	y
OG0001224	0.024	y
OG0001229	0.033	y
OG0001233	0.033	y
OG0001241	0.033	y
OG0001253	0.008	y
OG0001256	0.033	y
OG0001285	0.008	y
OG0001286	0.008	y
OG0001298	0.033	y
OG0001299	0.008	y
OG0001300	0.028	y
OG0001301	0.028	y
OG0001303	0.028	y
OG0001304	0.028	y
OG0001305	0.008	y
OG0001306	0.008	y
OG0001307	0.008	y
OG0001308	0.008	y
OG0001310	0.001	y
OG0001312	0.008	y
OG0001314	0.045	y
OG0001316	0.033	y
OG0001318	0.008	y
OG0001342	0.001	y
OG0001343	0.008	y
OG0001344	0.045	y
OG0001357	0.006	y
OG0001372	0.045	y
OG0001454	0.006	y
OG0001486	0.006	y
OG0001536	0.045	y
OG0001602	0.033	y
OG0001628	0.045	y
OG0001649	0.045	y
OG0001671	0.045	y
OG0001719	0.033	y
OG0001980	0.045	y
OG0001984	0.045	y
OG0002000	0.045	y
OG0002015	0.045	y
OG0002017	0.045	y
OG0002029	0.033	y
OG0002045	0.008	y
OG0002052	0.033	y
OG0002083	0.008	y
OG0002119	0.033	y
OG0002127	0.045	y
OG0002134	0.033	y
OG0002141	0.008	y
OG0002148	0.006	y
OG0002224	0.0	y
OG0002410	0.045	y
OG0002415	0.006	y
OG0002417	0.045	y
OG0002418	0.045	y
OG0002436	0.033	y
OG0002456	0.006	y
OG0002468	0.033	y
OG0002520	0.045	y
OG0002542	0.033	y
OG0002604	0.033	y
OG0002611	0.008	y
OG0004036	0.045	y
OG0004496	0.045	y
OG0004628	0.045	y
OG0004943	0.033	y
OG0005231	0.033	y
OG0005347	0.033	y
OG0005912	0.033	y
OG0005913	0.033	y
OG0006634	0.045	y
OG0007276	0.005	y
OG0007750	0.045	y
OG0007751	0.045	y
OG0007755	0.045	y
OG0007757	0.008	y
OG0007760	0.045	y
OG0007761	0.045	y
OG0007762	0.045	y
OG0007763	0.033	y
OG0007765	0.045	y
OG0007766	0.033	y
OG0007767	0.008	y
OG0007768	0.045	y
OG0007769	0.033	y
OG0007770	0.006	y
OG0007771	0.045	y
OG0007778	0.045	y
OG0007781	0.006	y
OG0007797	0.033	y
OG0007799	0.001	y
OG0007800	0.045	y
OG0007818	0.006	y
OG0007849	0.006	y
OG0007863	0.006	y
OG0007871	0.006	y
OG0007899	0.006	y
OG0007910	0.006	y
OG0007957	0.006	y
OG0007960	0.006	y
OG0008020	0.045	y
OG0008026	0.045	y
OG0008034	0.033	y
OG0008051	0.033	y
OG0008057	0.033	y
OG0008069	0.045	y
OG0008093	0.045	y
OG0008110	0.045	y
OG0008199	0.045	y
OG0008225	0.033	y
OG0008227	0.045	y
OG0008318	0.006	y
OG0008340	0.033	y
OG0008345	0.033	y
OG0008370	0.001	y
OG0008371	0.001	y
OG0008424	0.045	y
OG0008429	0.045	y
OG0008478	0.033	y
OG0008507	0.033	y
OG0008558	0.045	y
OG0008683	0.006	y
OG0008954	0.033	y
OG0009163	0.045	y
OG0009485	0.001	y
OG0009619	0.033	y
OG0009709	0.045	y
OG0009751	0.033	y
OG0009961	0.033	y
OG0009993	0.045	y
OG0010325	0.033	y
OG0010514	0.006	y
OG0010543	0.006	y
OG0010830	0.045	y
OG0011098	0.001	y
OG0011282	0.033	y
OG0011347	0.045	y
OG0011349	0.006	y
OG0011369	0.045	y
OG0011386	0.045	y
OG0011508	0.045	y
OG0011533	0.045	y
OG0011610	0.006	y
OG0011760	0.006	y
OG0011797	0.006	y
OG0011818	0.006	y
OG0011884	0.006	y
OG0011984	0.006	y
OG0012017	0.006	y
OG0012270	0.006	y
OG0012386	0.006	y
OG0012395	0.006	y
OG0012617	0.006	y
OG0012735	0.006	y
OG0012740	0.006	y
