orthogroup	form	copies	family
OG0000020	Cx_molestus	7	CSP
OG0000020	Cx_pallens	7	CSP
OG0000020	Cx_pipiens	6	CSP
OG0000020	Cx_quinquefasciatus	7	CSP
OG0000021	Cx_molestus	7	OR
OG0000021	Cx_pallens	6	OR
OG0000021	Cx_pipiens	5	OR
OG0000021	Cx_quinquefasciatus	8	OR
OG0000027	Cx_molestus	6	CCE
OG0000027	Cx_pallens	7	CCE
OG0000027	Cx_pipiens	5	CCE
OG0000027	Cx_quinquefasciatus	7	CCE
OG0000048	Cx_molestus	6	OR
OG0000048	Cx_pallens	4	OR
OG0000048	Cx_pipiens	5	OR
OG0000048	Cx_quinquefasciatus	6	OR
OG0000053	Cx_molestus	5	IR
OG0000053	Cx_pallens	5	IR
OG0000053	Cx_pipiens	4	IR
OG0000053	Cx_quinquefasciatus	6	IR
OG0000087	Cx_molestus	4	P450
OG0000087	Cx_pallens	4	P450
OG0000087	Cx_pipiens	4	P450
OG0000087	Cx_quinquefasciatus	4	P450
OG0000094	Cx_molestus	4	OR
OG0000094	Cx_pallens	4	OR
OG0000094	Cx_pipiens	4	OR
OG0000094	Cx_quinquefasciatus	4	OR
OG0000124	Cx_molestus	2	GR
OG0000124	Cx_pallens	3	GR
OG0000124	Cx_pipiens	4	GR
OG0000124	Cx_quinquefasciatus	5	GR
OG0000147	Cx_molestus	2	P450
OG0000147	Cx_pallens	4	P450
OG0000147	Cx_pipiens	3	P450
OG0000147	Cx_quinquefasciatus	4	P450
OG0000170	Cx_molestus	3	CCE
OG0000170	Cx_pallens	3	CCE
OG0000170	Cx_pipiens	3	CCE
OG0000170	Cx_quinquefasciatus	3	CCE
OG0000176	Cx_molestus	3	OBP
OG0000176	Cx_pallens	3	OBP
OG0000176	Cx_pipiens	3	OBP
OG0000176	Cx_quinquefasciatus	3	OBP
OG0000177	Cx_molestus	3	P450
OG0000177	Cx_pallens	3	P450
OG0000177	Cx_pipiens	3	P450
OG0000177	Cx_quinquefasciatus	3	P450
OG0000187	Cx_molestus	3	immune
OG0000187	Cx_pallens	3	immune
OG0000187	Cx_pipiens	3	immune
OG0000187	Cx_quinquefasciatus	3	immune
OG0000188	Cx_molestus	3	P450
OG0000188	Cx_pallens	3	P450
OG0000188	Cx_pipiens	3	P450
OG0000188	Cx_quinquefasciatus	3	P450
OG0000203	Cx_molestus	3	P450
OG0000203	Cx_pallens	3	P450
OG0000203	Cx_pipiens	3	P450
OG0000203	Cx_quinquefasciatus	3	P450
OG0000206	Cx_molestus	2	OR
OG0000206	Cx_pallens	2	OR
OG0000206	Cx_pipiens	3	OR
OG0000206	Cx_quinquefasciatus	5	OR
OG0000212	Cx_molestus	3	P450
OG0000212	Cx_pallens	3	P450
OG0000212	Cx_pipiens	2	P450
OG0000212	Cx_quinquefasciatus	3	P450
OG0000221	Cx_molestus	2	OR
OG0000221	Cx_pallens	3	OR
OG0000221	Cx_pipiens	3	OR
OG0000221	Cx_quinquefasciatus	3	OR
OG0000232	Cx_molestus	3	OBP
OG0000232	Cx_pallens	3	OBP
OG0000232	Cx_pipiens	2	OBP
OG0000232	Cx_quinquefasciatus	4	OBP
OG0000238	Cx_molestus	3	OBP
OG0000238	Cx_pallens	3	OBP
OG0000238	Cx_pipiens	3	OBP
OG0000238	Cx_quinquefasciatus	3	OBP
OG0000245	Cx_molestus	2	immune
OG0000245	Cx_pallens	2	immune
OG0000245	Cx_pipiens	3	immune
OG0000245	Cx_quinquefasciatus	4	immune
OG0000252	Cx_molestus	3	OR
OG0000252	Cx_pallens	3	OR
OG0000252	Cx_pipiens	2	OR
OG0000252	Cx_quinquefasciatus	3	OR
OG0000270	Cx_molestus	2	OR
OG0000270	Cx_pallens	3	OR
OG0000270	Cx_pipiens	2	OR
OG0000270	Cx_quinquefasciatus	3	OR
OG0000280	Cx_molestus	2	P450
OG0000280	Cx_pallens	2	P450
OG0000280	Cx_pipiens	3	P450
OG0000280	Cx_quinquefasciatus	3	P450
OG0000305	Cx_molestus	2	P450
OG0000305	Cx_pallens	3	P450
OG0000305	Cx_pipiens	3	P450
OG0000305	Cx_quinquefasciatus	3	P450
OG0000309	Cx_molestus	2	P450
OG0000309	Cx_pallens	3	P450
OG0000309	Cx_pipiens	2	P450
OG0000309	Cx_quinquefasciatus	3	P450
OG0000318	Cx_molestus	2	P450
OG0000318	Cx_pallens	2	P450
OG0000318	Cx_pipiens	2	P450
OG0000318	Cx_quinquefasciatus	3	P450
OG0000333	Cx_molestus	2	P450
OG0000333	Cx_pallens	2	P450
OG0000333	Cx_pipiens	2	P450
