Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000000	28	26	27	33	1	4	core
OG0000001	13	15	15	16	0	4	core
OG0000002	11	12	11	15	1	4	core
OG0000003	8	9	9	10	5	4	core
OG0000004	8	8	8	8	7	4	core
OG0000005	7	8	8	8	6	4	core
OG0000006	7	7	9	13	1	4	core
OG0000007	9	9	9	9	1	4	core
OG0000008	7	8	6	8	7	4	core
OG0000009	6	8	7	14	0	4	core
OG0000010	10	6	8	0	11	3	shell
OG0000011	9	4	8	10	3	4	core
OG0000012	7	7	8	11	1	4	core
OG0000013	8	7	7	9	1	4	core
OG0000014	5	3	3	10	8	4	core
OG0000015	7	5	4	11	1	4	core
OG0000016	5	4	5	7	7	4	core
OG0000017	7	5	7	7	1	4	core
OG0000018	6	5	7	7	2	4	core
OG0000019	9	7	7	4	0	4	core
OG0000020	7	7	6	7	0	4	core
OG0000021	7	6	5	8	1	4	core
OG0000022	6	5	6	8	1	4	core
OG0000023	5	2	6	11	2	4	core
OG0000024	6	4	6	9	1	4	core
OG0000025	7	5	6	7	1	4	core
OG0000026	6	5	7	8	0	4	core
OG0000027	6	7	5	7	1	4	core
OG0000028	1	1	0	0	23	2	shell
OG0000029	4	6	7	7	1	4	core
OG0000030	5	5	4	5	6	4	core
OG0000031	5	5	5	5	5	4	core
OG0000032	3	7	7	7	1	4	core
OG0000033	5	6	5	8	1	4	core
OG0000034	3	3	3	8	7	4	core
OG0000035	5	5	5	5	4	4	core
OG0000036	5	5	5	5	4	4	core
OG0000037	6	6	6	6	0	4	core
OG0000038	6	5	6	6	1	4	core
OG0000039	6	5	6	6	1	4	core
OG0000040	6	6	5	6	1	4	core
OG0000041	6	6	5	5	1	4	core
OG0000042	6	4	5	4	4	4	core
OG0000043	3	5	5	5	5	4	core
OG0000044	5	5	3	5	5	4	core
OG0000045	5	6	4	6	1	4	core
OG0000046	5	5	4	5	3	4	core
OG0000047	6	4	5	6	1	4	core
OG0000048	5	4	5	7	1	4	core
OG0000049	4	5	5	7	1	4	core
OG0000050	0	0	7	7	7	2	shell
OG0000051	4	4	4	5	4	4	core
OG0000052	5	5	4	6	1	4	core
OG0000053	5	5	4	5	1	4	core
OG0000054	4	6	4	5	1	4	core
OG0000055	4	5	5	5	1	4	core
OG0000056	5	5	4	5	1	4	core
OG0000057	3	3	5	8	1	4	core
OG0000058	5	5	4	6	0	4	core
OG0000059	5	5	4	5	1	4	core
OG0000060	5	4	4	6	1	4	core
OG0000061	5	3	5	5	1	4	core
OG0000062	5	4	5	4	1	4	core
OG0000063	5	3	5	5	1	4	core
OG0000064	4	5	4	5	1	4	core
OG0000065	4	2	4	3	6	4	core
OG0000066	3	5	5	5	1	4	core
OG0000067	5	4	4	5	1	4	core
OG0000068	4	4	5	5	1	4	core
OG0000069	3	4	4	4	4	4	core
OG0000070	5	4	4	6	0	4	core
OG0000071	3	3	3	5	5	4	core
OG0000072	4	3	4	5	2	4	core
OG0000073	3	5	4	5	1	4	core
OG0000074	4	3	3	6	2	4	core
OG0000075	4	4	4	5	1	4	core
OG0000076	5	4	3	5	1	4	core
OG0000077	4	4	4	3	3	4	core
OG0000078	4	3	5	5	1	4	core
OG0000079	4	5	4	5	0	4	core
OG0000080	4	4	5	5	0	4	core
OG0000081	3	2	4	8	1	4	core
OG0000082	3	3	2	9	1	4	core
OG0000083	4	1	3	6	3	4	core
OG0000084	4	4	4	4	1	4	core
OG0000085	2	5	3	6	1	4	core
OG0000086	4	4	4	4	1	4	core
OG0000087	3	4	3	4	3	4	core
OG0000088	3	2	4	6	2	4	core
OG0000089	3	3	5	5	1	4	core
OG0000090	4	4	4	4	1	4	core
OG0000091	4	4	5	4	0	4	core
OG0000092	4	4	4	4	1	4	core
OG0000093	4	4	4	4	1	4	core
OG0000094	3	4	4	4	2	4	core
OG0000095	8	4	3	0	1	3	shell
OG0000096	4	2	4	4	2	4	core
OG0000097	3	3	3	3	4	4	core
OG0000098	3	3	3	5	2	4	core
OG0000099	1	1	4	6	4	4	core
OG0000100	3	4	4	4	1	4	core
OG0000101	4	3	4	4	1	4	core
OG0000102	3	4	4	4	1	4	core
OG0000103	2	4	4	5	1	4	core
OG0000104	3	4	4	4	1	4	core
OG0000105	4	4	4	3	1	4	core
OG0000106	4	3	4	4	1	4	core
OG0000107	4	4	4	4	0	4	core
OG0000108	3	3	3	4	3	4	core
OG0000109	6	5	5	0	0	3	shell
OG0000110	4	4	4	4	0	4	core
OG0000111	4	4	4	4	0	4	core
OG0000112	4	4	4	4	0	4	core
OG0000113	2	4	4	5	1	4	core
OG0000114	2	4	3	4	3	4	core
OG0000115	4	4	3	4	1	4	core
OG0000116	3	3	4	4	1	4	core
OG0000117	2	4	1	8	0	4	core
OG0000118	3	3	3	5	1	4	core
OG0000119	3	3	3	3	3	4	core
OG0000120	4	2	4	4	1	4	core
OG0000121	3	3	4	4	1	4	core
OG0000122	2	3	3	6	1	4	core
OG0000123	2	3	4	5	1	4	core
OG0000124	2	4	2	5	2	4	core
OG0000125	4	4	3	4	0	4	core
OG0000126	4	3	4	4	0	4	core
OG0000127	1	5	1	8	0	4	core
OG0000128	3	3	3	3	3	4	core
OG0000129	4	2	3	4	2	4	core
OG0000130	2	3	2	6	2	4	core
OG0000131	4	3	3	4	1	4	core
OG0000132	4	4	2	4	1	4	core
OG0000133	3	4	3	4	1	4	core
OG0000134	4	3	3	4	1	4	core
OG0000135	3	3	3	3	3	4	core
OG0000136	3	4	2	6	0	4	core
OG0000137	3	4	3	4	1	4	core
OG0000138	3	4	3	5	0	4	core
OG0000139	3	3	3	3	2	4	core
OG0000140	3	4	3	3	1	4	core
OG0000141	3	2	4	4	1	4	core
OG0000142	3	4	3	3	1	4	core
OG0000143	3	2	4	4	1	4	core
OG0000144	2	4	2	5	1	4	core
OG0000145	4	2	3	4	1	4	core
OG0000146	3	3	3	3	2	4	core
OG0000147	2	4	3	4	1	4	core
OG0000148	2	3	2	3	4	4	core
OG0000149	3	2	2	6	1	4	core
OG0000150	3	3	2	2	4	4	core
OG0000151	3	3	3	4	1	4	core
OG0000152	3	3	3	4	1	4	core
OG0000153	3	2	4	4	1	4	core
OG0000154	3	3	3	3	2	4	core
OG0000155	3	3	3	3	2	4	core
OG0000156	3	3	3	4	1	4	core
OG0000157	3	3	3	4	1	4	core
OG0000158	1	4	4	4	1	4	core
OG0000159	3	3	2	3	2	4	core
OG0000160	3	3	3	3	1	4	core
OG0000161	3	3	3	2	2	4	core
OG0000162	2	2	2	4	3	4	core
OG0000163	3	2	3	4	1	4	core
OG0000164	3	3	3	3	1	4	core
OG0000165	4	2	2	4	1	4	core
OG0000166	3	3	3	3	1	4	core
