Assembly	Cx_quinquefasciatus	Cx_pallens	Cx_molestus	Cx_pipiens	Cx_tarsalis
# contigs (>= 0 bp)	57	290	723	30	19994
# contigs (>= 1000 bp)	57	290	723	30	19993
# contigs (>= 5000 bp)	55	290	723	23	18600
# contigs (>= 10000 bp)	55	290	723	23	16298
# contigs (>= 25000 bp)	43	169	320	11	10890
# contigs (>= 50000 bp)	27	49	127	7	4553
Total length (>= 0 bp)	573230032	566354144	559749262	533168032	789669425
Total length (>= 1000 bp)	573230032	566354144	559749262	533168032	789668571
Total length (>= 5000 bp)	573225256	566354144	559749262	533155032	784926682
Total length (>= 10000 bp)	573225256	566354144	559749262	533155032	767826445
Total length (>= 25000 bp)	573018701	564541060	553665890	532913910	672682217
Total length (>= 50000 bp)	572378034	561021036	547701753	532804140	446738004
# contigs	57	290	723	30	19993
Largest contig	225161840	224097512	211251167	213114244	753184
Total length	573230032	566354144	559749262	533168032	789668571
GC (%)	36.89	36.77	36.94	36.82	35.98
N50	201550677	186194774	200952345	190882370	57901
N90	132876167	139153999	118347671	128522754	20484
auN	190163091.9	184091429.2	176899223.2	184504477.5	91759.2
L50	2	2	2	2	3590
L90	3	3	3	3	12561
# N's per 100 kbp	4564.57	30.00	48.29	11.18	0.03
