sample	compartment	median	q25	q75	within_1kb	n
Cx_molestus	cloud	0.0	0.0	0.0	1.0	205
Cx_molestus	core	0.0	0.0	84.0	0.9852517985611511	11120
Cx_molestus	shell	0.0	0.0	19.75	0.9890446976336547	2282
Cx_pallens	cloud	0.0	0.0	0.0	0.9831932773109243	119
Cx_pallens	core	0.0	0.0	80.0	0.9844592166726555	11132
Cx_pallens	shell	0.0	0.0	8.75	0.9844644317252658	2446
Cx_pipiens	cloud	0.0	0.0	0.0	0.9932432432432432	148
Cx_pipiens	core	0.0	0.0	82.25	0.9848728965270319	11172
Cx_pipiens	shell	0.0	0.0	27.0	0.9877913429522752	2703
Cx_quinquefasciatus	cloud	0.0	0.0	0.0	0.9883720930232558	86
Cx_quinquefasciatus	core	0.0	0.0	56.0	0.9835771105978958	11691
Cx_quinquefasciatus	shell	0.0	0.0	0.0	0.9864238410596027	3020
