sample	gene	chrom	start	end	compartment	nearest_te_bp	nearest_te_family
Cx_quinquefasciatus	gene-LOC6032101	NC_051861.1	5	16341	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032006	NC_051861.1	69404	82071	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032008	NC_051861.1	100545	174916	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032009	NC_051861.1	128139	129485	core	525	Unknown
Cx_quinquefasciatus	gene-LOC6053351	NC_051861.1	177228	273495	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032015	NC_051861.1	381200	471998	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032023	NC_051861.1	890126	1002847	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032026	NC_051861.1	975130	978490	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032027	NC_051861.1	978758	981013	core	2557	Unknown
Cx_quinquefasciatus	gene-LOC6032028	NC_051861.1	980992	983519	core	51	Unknown
Cx_quinquefasciatus	gene-LOC6032031	NC_051861.1	984825	993293	core	75	Unknown
Cx_quinquefasciatus	gene-LOC6032032	NC_051861.1	999853	1001031	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032033	NC_051861.1	1003154	1003812	core	506	Unknown
Cx_quinquefasciatus	gene-LOC6032034	NC_051861.1	1003749	1005536	core	151	Unknown
Cx_quinquefasciatus	gene-LOC6032035	NC_051861.1	1012099	1014997	core	89	Unknown
Cx_quinquefasciatus	gene-LOC6032039	NC_051861.1	1018281	1152444	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032037	NC_051861.1	1131021	1132169	core	586	LTR/Pao
Cx_quinquefasciatus	gene-LOC6032038	NC_051861.1	1134801	1135914	core	65	LTR/Copia
Cx_quinquefasciatus	gene-LOC6032040	NC_051861.1	1196191	1204663	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032041	NC_051861.1	1204650	1212780	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032043	NC_051861.1	1248954	1253130	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032044	NC_051861.1	1254667	1263333	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032045	NC_051861.1	1263488	1267795	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032046	NC_051861.1	1288919	1290463	core	63	Unknown
Cx_quinquefasciatus	gene-LOC6032047	NC_051861.1	1298341	1420152	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765471	NC_051861.1	1312087	1317847	cloud	0	LTR/Gypsy
Cx_quinquefasciatus	gene-LOC6032048	NC_051861.1	1380482	1388165	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032051	NC_051861.1	1421854	1432872	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765470	NC_051861.1	1432995	1436139	core	6774	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032052	NC_051861.1	1436369	1439544	core	3369	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032053	NC_051861.1	1439750	1446136	shell	0	Simple_repeat
