cluster	n_inversions	n_pairs	chromosomes	max_span_bp	genome_in_every_pair	any_at_least_large_span	pairs	members
1	3	3	chr2	477479	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:8960193-9437673;Cx_pallens_vs_Cx_molestus:NC_068938.1:214417624-214787771;Cx_pallens_vs_Cx_pipiens:NC_068938.1:214417624-214605264
2	1	1	chr2	121001		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:18311823-18432824
3	2	2	chr2	370096	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:27702505-28072601;Cx_pallens_vs_Cx_molestus:NC_068938.1:163827681-163985207
4	3	3	chr2	122974	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:31418051-31541025;Cx_pallens_vs_Cx_molestus:NC_068938.1:192275597-192393700;Cx_pallens_vs_Cx_pipiens:NC_068938.1:192275597-192393700
5	1	1	chr2	165225		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:45284720-45449945
6	2	2	chr2	125476	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:47622216-47741376;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:47615899-47741376
7	1	1	chr2	248678		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:52393496-52642174
8	1	1	chr2	135203		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:55621646-55756850
9	3	3	chr2	395589	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:58508340-58767425;Cx_pallens_vs_Cx_molestus:NC_068938.1:162458703-162721365;Cx_pallens_vs_Cx_pipiens:NC_068938.1:162458703-162854292
10	1	1	chr2	348176		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:58996722-59344898
