pair	sample1	sample2	n_shared_genes_chr1_3	pct_collinear_anchors	n_chrom_pairs_reverse_oriented	n_inversions_intra_chr	max_inversion_size_bp	top_inversions	total_aligned_bp	mean_alignment_identity_pct	mean_skani_ani_pct	aln_identity_source
Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus	Cx_pallens	14210	85.38	3	77	1814500	NC_051861.1:39.41-41.23Mb(47genes); NC_051863.1:100.05-101.55Mb(3genes); NC_051861.1:42.05-43.54Mb(22genes)	560169870	94.3256	94.22	minimap2 asm20, chromosome-scale sequences
Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus	Cx_molestus	13762	83.81	1	112	1249637	NC_051861.1:38.30-39.55Mb(31genes); NC_051863.1:132.74-133.90Mb(30genes); NC_051861.1:30.54-31.62Mb(10genes)	551290753	92.8797	93.19	minimap2 asm20, chromosome-scale sequences
Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus	Cx_pipiens	15257	88.08	2	49	1421135	NC_051861.1:33.60-35.02Mb(31genes); NC_051861.1:30.54-31.62Mb(10genes); NC_051861.1:37.27-38.18Mb(22genes)	542309752	93.2753	92.8	minimap2 asm20, chromosome-scale sequences
Cx_pallens_vs_Cx_molestus	Cx_pallens	Cx_molestus	12808	83.06	2	129	1624597	NC_068937.1:70.29-71.92Mb(3genes); NC_068937.1:72.94-74.25Mb(9genes); NC_068937.1:106.18-107.45Mb(21genes)	549452900	93.2645	93.55	minimap2 asm20, chromosome-scale sequences
Cx_pallens_vs_Cx_pipiens	Cx_pallens	Cx_pipiens	13882	87.81	1	60	1660442	NC_068937.1:106.11-107.77Mb(28genes); NC_068937.1:104.27-105.57Mb(16genes); NC_068937.1:62.25-63.42Mb(4genes)	548256404	93.7885	93.33	minimap2 asm20, chromosome-scale sequences
Cx_molestus_vs_Cx_pipiens	Cx_molestus	Cx_pipiens	13555	85.39	3	109	1272932	CM044970.1:104.41-105.68Mb(4genes); CM044970.1:66.91-67.59Mb(15genes); CM044970.1:110.49-111.14Mb(3genes)	547616164	94.6599	94.35	minimap2 asm20, chromosome-scale sequences
