Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
Cx_quinquefasciatus	57	57	55	55	43	27	573230032	573230032	573225256	573225256	573018701	572378034	57	225161840	573230032	36.89	201550677	132876167	190163091.9	2	3	4564.57
Cx_pallens	290	290	290	290	169	49	566354144	566354144	566354144	566354144	564541060	561021036	290	224097512	566354144	36.77	186194774	139153999	184091429.2	2	3	30.00
Cx_molestus	723	723	723	723	320	127	559749262	559749262	559749262	559749262	553665890	547701753	723	211251167	559749262	36.94	200952345	118347671	176899223.2	2	3	48.29
Cx_pipiens	30	30	23	23	11	7	533168032	533168032	533155032	533155032	532913910	532804140	30	213114244	533168032	36.82	190882370	128522754	184504477.5	2	3	11.18
Cx_tarsalis	19994	19993	18600	16298	10890	4553	789669425	789668571	784926682	767826445	672682217	446738004	19993	753184	789668571	35.98	57901	20484	91759.2	3590	12561	0.03
