orthogroup	form	is_reference_form	n_ingroup_genes	n_outgroup_genes	genes	gene_ids	same_gene_forms	same_gene_orthogroups	same_gene_compartments	in_reference_elsewhere	status
OG0000312	Cx_pallens	False	1	9	rna-XM_0382609911	gene-LOC119769088	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000000	core	True	same_gene_elsewhere
OG0001085	Cx_quinquefasciatus	True	7	0	rna-XM_0382506301,rna-XM_0382506311,rna-XM_0382506321,rna-XM_0382506351,rna-XM_0382506361,rna-XM_0382506381,rna-XM_0382506401	gene-LOC119766197,gene-LOC119766198,gene-LOC119766199,gene-LOC119766201,gene-LOC119766202,gene-LOC119766203,gene-LOC119766205	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000110,OG0000973,OG0013300	core,shell	False	same_gene_elsewhere
OG0001326	Cx_pipiens	False	1	4	rna-XM_0382624431	gene-LOC119769557	Cx_pallens,Cx_quinquefasciatus	OG0011610,unassigned	shell,unassigned	True	same_gene_elsewhere
OG0002131	Cx_molestus	False	2	3	rna-XM_0382507631,rna-XM_0382609621	gene-LOC119766301,gene-LOC119769066	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000317,unassigned	core,unassigned	True	same_gene_elsewhere
OG0007776	Cx_quinquefasciatus	True	1	3	rna-XM_0382665311	gene-LOC119771126	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000062	core	False	same_gene_elsewhere
OG0007798	Cx_pipiens	False	2	2	rna-XM_0382608651,rna-XM_0382608831	gene-LOC119768995,gene-LOC119769009	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000409,OG0012933	core,shell	True	same_gene_elsewhere
OG0011274	Cx_pallens	False	2	2	rna-XM_0382502231,rna-XM_0382532571	gene-LOC119765945,gene-LOC119766893	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000006,unassigned	core,unassigned	True	same_gene_elsewhere
OG0011276	Cx_pallens	False	2	2	rna-XM_0382503361,rna-XM_0382576111	gene-LOC119766012,gene-LOC6039649	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0008051	shell	True	same_gene_elsewhere
OG0011297	Cx_pallens	False	1	3	rna-XM_0382612331	gene-LOC119769273	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0007960,OG0013639	shell	True	same_gene_elsewhere
OG0011390	Cx_pallens	False	1	3	rna-XM_0382481841	gene-LOC6035648	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0011953	shell	True	same_gene_elsewhere
OG0011570	Cx_pallens	False	1	3	rna-XM_0382580851	gene-LOC6052278	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0001027	core	True	same_gene_elsewhere
OG0011608	Cx_pipiens	False	1	2	rna-XM_0382509091	gene-LOC6031335	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000808,OG0011686	core,shell	True	same_gene_elsewhere
OG0011614	Cx_quinquefasciatus	True	1	2	rna-XM_0382664861	gene-LOC119771097	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000971	shell	False	same_gene_elsewhere
