section	item	sample	value	source
assembly	total_length_bp	Cx_quinquefasciatus	573230032	results/quast/report.tsv
assembly	total_length_bp	Cx_pallens	566354144	results/quast/report.tsv
assembly	total_length_bp	Cx_molestus	559749262	results/quast/report.tsv
assembly	total_length_bp	Cx_pipiens	533168032	results/quast/report.tsv
assembly	total_length_bp	Cx_tarsalis	789668571	results/quast/report.tsv
assembly	GC_pct	Cx_quinquefasciatus	36.89	results/quast/report.tsv
assembly	GC_pct	Cx_pallens	36.77	results/quast/report.tsv
assembly	GC_pct	Cx_molestus	36.94	results/quast/report.tsv
assembly	GC_pct	Cx_pipiens	36.82	results/quast/report.tsv
assembly	GC_pct	Cx_tarsalis	35.98	results/quast/report.tsv
assembly	N50_bp	Cx_quinquefasciatus	201550677	results/quast/report.tsv
assembly	N50_bp	Cx_pallens	186194774	results/quast/report.tsv
assembly	N50_bp	Cx_molestus	200952345	results/quast/report.tsv
assembly	N50_bp	Cx_pipiens	190882370	results/quast/report.tsv
assembly	N50_bp	Cx_tarsalis	57901	results/quast/report.tsv
busco	genome one_line_summary	Cx_quinquefasciatus	C:95.9%[S:94.9%,D:1.0%],F:0.4%,M:3.7%,n:3285,E:19.2%	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome complete_pct	Cx_quinquefasciatus	95.9	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome single_pct	Cx_quinquefasciatus	94.9	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome duplicated_pct	Cx_quinquefasciatus	1.0	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome fragmented_pct	Cx_quinquefasciatus	0.4	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome missing_pct	Cx_quinquefasciatus	3.7	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome busco_version	Cx_quinquefasciatus	6.1.0	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome lineage	Cx_quinquefasciatus	diptera_odb10	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome gene_predictor	Cx_quinquefasciatus	miniprot	results/busco/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	genome one_line_summary	Cx_pallens	C:95.2%[S:90.7%,D:4.5%],F:0.5%,M:4.3%,n:3285,E:18.4%	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome complete_pct	Cx_pallens	95.2	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome single_pct	Cx_pallens	90.7	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome duplicated_pct	Cx_pallens	4.5	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome fragmented_pct	Cx_pallens	0.5	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome missing_pct	Cx_pallens	4.3	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome busco_version	Cx_pallens	6.1.0	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome lineage	Cx_pallens	diptera_odb10	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome gene_predictor	Cx_pallens	miniprot	results/busco/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	genome one_line_summary	Cx_molestus	C:95.2%[S:90.7%,D:4.4%],F:0.7%,M:4.1%,n:3285,E:18.7%	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome complete_pct	Cx_molestus	95.2	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome single_pct	Cx_molestus	90.7	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome duplicated_pct	Cx_molestus	4.4	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome fragmented_pct	Cx_molestus	0.7	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome missing_pct	Cx_molestus	4.1	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome busco_version	Cx_molestus	6.1.0	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome lineage	Cx_molestus	diptera_odb10	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome gene_predictor	Cx_molestus	miniprot	results/busco/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	genome one_line_summary	Cx_pipiens	C:98.8%[S:98.4%,D:0.4%],F:0.3%,M:0.9%,n:3285,E:19.0%	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome complete_pct	Cx_pipiens	98.8	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome single_pct	Cx_pipiens	98.4	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome duplicated_pct	Cx_pipiens	0.4	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome fragmented_pct	Cx_pipiens	0.3	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome missing_pct	Cx_pipiens	0.9	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome busco_version	Cx_pipiens	6.1.0	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome lineage	Cx_pipiens	diptera_odb10	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome gene_predictor	Cx_pipiens	miniprot	results/busco/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	genome one_line_summary	Cx_tarsalis	C:79.6%[S:70.7%,D:8.9%],F:5.9%,M:14.5%,n:3285,E:17.9%	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome complete_pct	Cx_tarsalis	79.6	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome single_pct	Cx_tarsalis	70.7	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome duplicated_pct	Cx_tarsalis	8.9	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome fragmented_pct	Cx_tarsalis	5.9	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome missing_pct	Cx_tarsalis	14.5	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome busco_version	Cx_tarsalis	6.1.0	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome lineage	Cx_tarsalis	diptera_odb10	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	genome gene_predictor	Cx_tarsalis	miniprot	results/busco/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein one_line_summary	Cx_quinquefasciatus	C:95.2%[S:93.7%,D:1.5%],F:0.4%,M:4.4%,n:3285	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein complete_pct	Cx_quinquefasciatus	95.2	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein single_pct	Cx_quinquefasciatus	93.7	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein duplicated_pct	Cx_quinquefasciatus	1.5	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein fragmented_pct	Cx_quinquefasciatus	0.4	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein missing_pct	Cx_quinquefasciatus	4.4	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein busco_version	Cx_quinquefasciatus	6.1.0	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein lineage	Cx_quinquefasciatus	diptera_odb10	results/busco_proteins/Cx_quinquefasciatus/short_summary.specific.diptera_odb10.Cx_quinquefasciatus.json
busco	protein one_line_summary	Cx_pallens	C:80.6%[S:79.6%,D:1.0%],F:3.4%,M:16.0%,n:3285	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein complete_pct	Cx_pallens	80.6	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein single_pct	Cx_pallens	79.6	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein duplicated_pct	Cx_pallens	1.0	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein fragmented_pct	Cx_pallens	3.4	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein missing_pct	Cx_pallens	16.0	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein busco_version	Cx_pallens	6.1.0	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein lineage	Cx_pallens	diptera_odb10	results/busco_proteins/Cx_pallens/short_summary.specific.diptera_odb10.Cx_pallens.json
busco	protein one_line_summary	Cx_molestus	C:77.4%[S:76.7%,D:0.7%],F:3.8%,M:18.8%,n:3285	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein complete_pct	Cx_molestus	77.4	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein single_pct	Cx_molestus	76.7	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein duplicated_pct	Cx_molestus	0.7	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein fragmented_pct	Cx_molestus	3.8	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein missing_pct	Cx_molestus	18.8	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein busco_version	Cx_molestus	6.1.0	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein lineage	Cx_molestus	diptera_odb10	results/busco_proteins/Cx_molestus/short_summary.specific.diptera_odb10.Cx_molestus.json
busco	protein one_line_summary	Cx_pipiens	C:81.6%[S:80.7%,D:0.9%],F:3.8%,M:14.6%,n:3285	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein complete_pct	Cx_pipiens	81.6	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein single_pct	Cx_pipiens	80.7	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein duplicated_pct	Cx_pipiens	0.9	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
