Family ID	Desc	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis
OG0000000	OG0000000	28	26	27	33	1
OG0000001	OG0000001	13	15	15	16	0
OG0000002	OG0000002	11	12	11	15	1
OG0000003	OG0000003	8	9	9	10	5
OG0000004	OG0000004	8	8	8	8	7
OG0000005	OG0000005	7	8	8	8	6
OG0000006	OG0000006	7	7	9	13	1
OG0000007	OG0000007	9	9	9	9	1
OG0000008	OG0000008	7	8	6	8	7
OG0000009	OG0000009	6	8	7	14	0
OG0000010	OG0000010	10	6	8	0	11
OG0000011	OG0000011	9	4	8	10	3
OG0000012	OG0000012	7	7	8	11	1
OG0000013	OG0000013	8	7	7	9	1
OG0000014	OG0000014	5	3	3	10	8
OG0000015	OG0000015	7	5	4	11	1
OG0000016	OG0000016	5	4	5	7	7
OG0000017	OG0000017	7	5	7	7	1
OG0000018	OG0000018	6	5	7	7	2
OG0000019	OG0000019	9	7	7	4	0
OG0000020	OG0000020	7	7	6	7	0
OG0000021	OG0000021	7	6	5	8	1
OG0000022	OG0000022	6	5	6	8	1
OG0000023	OG0000023	5	2	6	11	2
OG0000024	OG0000024	6	4	6	9	1
OG0000025	OG0000025	7	5	6	7	1
OG0000026	OG0000026	6	5	7	8	0
OG0000027	OG0000027	6	7	5	7	1
OG0000028	OG0000028	1	1	0	0	23
OG0000029	OG0000029	4	6	7	7	1
OG0000030	OG0000030	5	5	4	5	6
OG0000031	OG0000031	5	5	5	5	5
OG0000032	OG0000032	3	7	7	7	1
OG0000033	OG0000033	5	6	5	8	1
OG0000034	OG0000034	3	3	3	8	7
OG0000035	OG0000035	5	5	5	5	4
OG0000036	OG0000036	5	5	5	5	4
OG0000037	OG0000037	6	6	6	6	0
OG0000038	OG0000038	6	5	6	6	1
OG0000039	OG0000039	6	5	6	6	1
OG0000040	OG0000040	6	6	5	6	1
OG0000041	OG0000041	6	6	5	5	1
OG0000042	OG0000042	6	4	5	4	4
OG0000043	OG0000043	3	5	5	5	5
OG0000044	OG0000044	5	5	3	5	5
OG0000045	OG0000045	5	3	5	7	2
OG0000046	OG0000046	5	6	4	6	1
OG0000047	OG0000047	5	5	4	5	3
OG0000048	OG0000048	6	4	5	6	1
OG0000049	OG0000049	5	4	5	7	1
OG0000050	OG0000050	4	5	5	7	1
OG0000051	OG0000051	0	0	7	7	7
OG0000052	OG0000052	4	4	4	5	4
OG0000053	OG0000053	5	5	4	6	1
OG0000054	OG0000054	5	5	4	5	1
OG0000055	OG0000055	4	6	4	5	1
OG0000056	OG0000056	4	5	5	5	1
OG0000057	OG0000057	5	5	4	5	1
OG0000058	OG0000058	3	3	5	8	1
OG0000059	OG0000059	5	5	4	6	0
OG0000060	OG0000060	5	5	4	5	1
OG0000061	OG0000061	5	4	4	6	1
OG0000062	OG0000062	5	3	5	5	1
OG0000063	OG0000063	5	4	5	4	1
OG0000064	OG0000064	5	3	5	5	1
OG0000065	OG0000065	4	5	4	5	1
OG0000066	OG0000066	4	2	4	3	6
OG0000067	OG0000067	3	5	5	5	1
OG0000068	OG0000068	5	4	4	5	1
OG0000069	OG0000069	4	4	5	5	1
OG0000070	OG0000070	3	4	4	4	4
OG0000071	OG0000071	5	4	4	6	0
OG0000072	OG0000072	3	3	3	5	5
OG0000073	OG0000073	4	3	4	5	2
OG0000074	OG0000074	3	5	4	5	1
OG0000075	OG0000075	4	3	3	6	2
OG0000076	OG0000076	4	4	4	5	1
OG0000077	OG0000077	5	4	3	5	1
OG0000078	OG0000078	4	4	4	3	3
OG0000079	OG0000079	4	3	5	5	1
OG0000080	OG0000080	4	5	4	5	0
OG0000081	OG0000081	4	4	5	5	0
OG0000082	OG0000082	3	2	4	8	1
OG0000083	OG0000083	3	3	2	9	1
OG0000084	OG0000084	4	1	3	6	3
OG0000085	OG0000085	4	4	4	4	1
OG0000086	OG0000086	2	5	3	6	1
OG0000087	OG0000087	4	4	4	4	1
OG0000088	OG0000088	3	4	3	4	3
OG0000089	OG0000089	3	2	4	6	2
OG0000090	OG0000090	3	3	5	5	1
OG0000091	OG0000091	4	4	4	4	1
OG0000092	OG0000092	4	4	5	4	0
OG0000093	OG0000093	4	4	4	4	1
OG0000094	OG0000094	4	4	4	4	1
OG0000095	OG0000095	3	4	4	4	2
OG0000096	OG0000096	8	4	3	0	1
OG0000097	OG0000097	4	2	4	4	2
OG0000098	OG0000098	3	3	3	3	4
OG0000099	OG0000099	3	3	3	5	2
OG0000100	OG0000100	1	1	4	6	4
OG0000101	OG0000101	3	4	4	4	1
OG0000102	OG0000102	4	3	4	4	1
OG0000103	OG0000103	3	4	4	4	1
OG0000104	OG0000104	2	4	4	5	1
OG0000105	OG0000105	3	4	4	4	1
OG0000106	OG0000106	4	4	4	3	1
OG0000107	OG0000107	4	3	4	4	1
OG0000108	OG0000108	4	4	4	4	0
OG0000109	OG0000109	3	3	3	4	3
OG0000110	OG0000110	6	5	5	0	0
OG0000111	OG0000111	4	4	4	4	0
OG0000112	OG0000112	4	4	4	4	0
OG0000113	OG0000113	4	4	4	4	0
OG0000114	OG0000114	2	4	4	5	1
OG0000115	OG0000115	2	4	3	4	3
OG0000116	OG0000116	4	4	3	4	1
OG0000117	OG0000117	3	3	4	4	1
OG0000118	OG0000118	3	3	3	5	1
OG0000119	OG0000119	3	3	3	3	3
OG0000120	OG0000120	2	5	3	2	3
OG0000121	OG0000121	4	2	4	4	1
OG0000122	OG0000122	3	3	4	4	1
OG0000123	OG0000123	2	3	3	6	1
OG0000124	OG0000124	2	3	4	5	1
OG0000125	OG0000125	2	4	2	5	2
OG0000126	OG0000126	4	4	3	4	0
OG0000127	OG0000127	4	3	4	4	0
OG0000128	OG0000128	1	5	1	8	0
OG0000129	OG0000129	3	3	3	3	3
OG0000130	OG0000130	4	2	3	4	2
OG0000131	OG0000131	2	3	2	6	2
OG0000132	OG0000132	4	3	3	4	1
OG0000133	OG0000133	4	4	2	4	1
OG0000134	OG0000134	3	4	3	4	1
OG0000135	OG0000135	4	3	3	4	1
OG0000136	OG0000136	3	3	3	3	3
OG0000137	OG0000137	3	4	2	6	0
OG0000138	OG0000138	3	4	3	4	1
OG0000139	OG0000139	3	4	3	5	0
OG0000140	OG0000140	3	3	3	3	2
OG0000141	OG0000141	3	4	3	3	1
OG0000142	OG0000142	3	2	4	4	1
OG0000143	OG0000143	3	4	3	3	1
OG0000144	OG0000144	3	2	4	4	1
OG0000145	OG0000145	2	4	2	5	1
OG0000146	OG0000146	4	2	3	4	1
OG0000147	OG0000147	2	4	3	4	1
OG0000148	OG0000148	2	3	2	3	4
OG0000149	OG0000149	3	2	2	6	1
OG0000150	OG0000150	3	3	2	2	4
OG0000151	OG0000151	3	3	3	4	1
OG0000152	OG0000152	3	3	3	4	1
OG0000153	OG0000153	3	2	4	4	1
OG0000154	OG0000154	3	3	3	3	2
OG0000155	OG0000155	3	3	3	3	2
OG0000156	OG0000156	3	3	3	4	1
OG0000157	OG0000157	3	3	3	4	1
OG0000158	OG0000158	1	4	4	4	1
OG0000159	OG0000159	3	3	2	3	2
OG0000160	OG0000160	3	3	3	3	1
OG0000161	OG0000161	3	3	3	2	2
OG0000162	OG0000162	3	3	2	3	2
OG0000163	OG0000163	2	2	2	4	3
OG0000164	OG0000164	3	2	3	4	1
OG0000165	OG0000165	3	3	3	3	1
OG0000166	OG0000166	4	2	2	4	1
OG0000167	OG0000167	3	3	3	3	1
OG0000168	OG0000168	3	3	3	3	1
OG0000169	OG0000169	3	3	3	3	1
OG0000170	OG0000170	3	3	3	3	1
OG0000171	OG0000171	3	3	3	3	1
OG0000172	OG0000172	3	3	3	3	1
OG0000173	OG0000173	3	3	3	3	1
OG0000174	OG0000174	3	3	3	3	1
OG0000175	OG0000175	3	3	3	3	1
OG0000176	OG0000176	3	3	3	3	1
OG0000177	OG0000177	3	3	3	3	1
OG0000178	OG0000178	2	3	3	4	1
OG0000179	OG0000179	3	3	3	3	1
OG0000180	OG0000180	3	3	3	3	1
OG0000181	OG0000181	3	2	3	4	1
OG0000182	OG0000182	3	3	3	3	1
OG0000183	OG0000183	2	3	3	4	1
OG0000184	OG0000184	3	3	3	3	1
OG0000185	OG0000185	2	3	2	5	1
OG0000186	OG0000186	3	3	3	3	1
OG0000187	OG0000187	3	3	3	3	1
OG0000188	OG0000188	3	3	3	3	1
OG0000189	OG0000189	3	3	3	3	1
OG0000190	OG0000190	2	3	3	4	1
OG0000191	OG0000191	4	2	3	4	0
OG0000192	OG0000192	3	3	3	3	1
OG0000193	OG0000193	3	4	2	4	0
OG0000194	OG0000194	3	3	3	3	1
OG0000195	OG0000195	3	3	3	4	0
OG0000196	OG0000196	2	2	3	3	3
OG0000197	OG0000197	2	2	3	5	1
OG0000198	OG0000198	3	3	3	3	1
OG0000199	OG0000199	4	1	4	4	0
OG0000200	OG0000200	3	3	4	3	0
OG0000201	OG0000201	3	3	3	3	1
OG0000202	OG0000202	3	3	3	3	1
OG0000203	OG0000203	3	3	3	3	1
OG0000204	OG0000204	3	3	3	3	1
OG0000205	OG0000205	1	4	3	4	1
OG0000206	OG0000206	2	2	3	5	1
OG0000207	OG0000207	3	3	3	3	1
OG0000208	OG0000208	3	3	3	3	1
OG0000209	OG0000209	3	3	3	4	0
OG0000210	OG0000210	2	2	4	4	0
OG0000211	OG0000211	1	1	1	5	4
OG0000212	OG0000212	3	3	2	3	1
OG0000213	OG0000213	2	4	0	4	2
OG0000214	OG0000214	2	3	3	3	1
OG0000215	OG0000215	2	3	2	2	3
OG0000216	OG0000216	3	2	3	3	1
OG0000217	OG0000217	2	3	3	3	1
OG0000218	OG0000218	1	1	1	4	5
OG0000219	OG0000219	3	3	3	2	1
OG0000220	OG0000220	2	3	3	3	1
OG0000221	OG0000221	2	3	3	3	1
OG0000222	OG0000222	3	2	2	3	2
OG0000223	OG0000223	3	3	2	3	1
OG0000224	OG0000224	3	2	2	3	2
OG0000225	OG0000225	2	2	2	2	4
OG0000226	OG0000226	2	3	3	3	1
OG0000227	OG0000227	2	3	3	3	1
OG0000228	OG0000228	3	3	2	3	1
OG0000229	OG0000229	2	2	2	3	3
OG0000230	OG0000230	2	3	3	3	1
OG0000231	OG0000231	3	2	2	4	1
OG0000232	OG0000232	3	3	2	4	0
OG0000233	OG0000233	3	3	3	3	0
OG0000234	OG0000234	3	3	3	2	1
OG0000235	OG0000235	2	3	3	4	0
OG0000236	OG0000236	2	4	2	4	0
OG0000237	OG0000237	4	3	1	2	2
OG0000238	OG0000238	3	3	3	3	0
OG0000239	OG0000239	2	4	1	4	1
OG0000240	OG0000240	3	3	3	3	0
OG0000241	OG0000241	3	2	2	3	2
OG0000242	OG0000242	3	2	3	3	1
OG0000243	OG0000243	2	3	2	5	0
OG0000244	OG0000244	3	3	2	3	1
OG0000245	OG0000245	2	2	3	4	1
OG0000246	OG0000246	2	3	3	3	1
OG0000247	OG0000247	2	3	3	3	1
OG0000248	OG0000248	2	3	3	3	1
OG0000249	OG0000249	2	2	3	4	1
OG0000250	OG0000250	3	2	2	4	1
OG0000251	OG0000251	3	2	3	3	1
OG0000252	OG0000252	3	3	2	3	1
OG0000253	OG0000253	2	3	3	3	1
OG0000254	OG0000254	3	3	3	3	0
OG0000255	OG0000255	3	2	3	3	1
OG0000256	OG0000256	3	3	3	3	0
OG0000257	OG0000257	2	3	3	3	1
OG0000258	OG0000258	3	2	3	3	1
OG0000259	OG0000259	2	3	3	3	1
OG0000260	OG0000260	3	2	3	3	1
OG0000261	OG0000261	3	2	3	3	1
OG0000262	OG0000262	3	2	3	3	1
OG0000263	OG0000263	2	2	2	2	3
OG0000264	OG0000264	2	2	2	2	3
OG0000265	OG0000265	3	3	2	3	0
OG0000266	OG0000266	2	2	3	3	1
OG0000267	OG0000267	3	2	2	3	1
OG0000268	OG0000268	3	2	2	2	2
OG0000269	OG0000269	3	2	1	4	1
OG0000270	OG0000270	2	3	2	3	1
OG0000271	OG0000271	2	3	2	3	1
OG0000272	OG0000272	3	2	2	2	2
OG0000273	OG0000273	3	2	2	3	1
OG0000274	OG0000274	3	3	3	1	1
OG0000275	OG0000275	3	1	3	3	1
OG0000276	OG0000276	2	3	2	3	1
OG0000277	OG0000277	1	3	3	3	1
OG0000278	OG0000278	2	3	2	3	1
OG0000279	OG0000279	2	2	3	3	1
OG0000280	OG0000280	2	2	3	3	1
OG0000281	OG0000281	2	2	3	3	1
OG0000282	OG0000282	2	2	1	6	0
OG0000283	OG0000283	3	2	3	3	0
OG0000284	OG0000284	3	2	2	3	1
OG0000285	OG0000285	3	2	2	3	1
OG0000286	OG0000286	2	2	2	3	2
OG0000287	OG0000287	2	3	3	3	0
OG0000288	OG0000288	3	1	3	3	1
OG0000289	OG0000289	2	3	3	3	0
OG0000290	OG0000290	3	2	2	4	0
OG0000291	OG0000291	3	2	3	3	0
OG0000292	OG0000292	2	2	4	2	1
OG0000293	OG0000293	2	3	2	3	1
OG0000294	OG0000294	1	2	2	2	4
OG0000295	OG0000295	1	2	1	7	0
OG0000296	OG0000296	1	1	5	4	0
OG0000297	OG0000297	1	3	3	3	1
OG0000298	OG0000298	3	3	2	3	0
OG0000299	OG0000299	2	3	2	3	1
OG0000300	OG0000300	2	1	3	4	1
OG0000301	OG0000301	2	2	3	3	1
OG0000302	OG0000302	2	2	3	3	1
OG0000303	OG0000303	2	2	3	3	1
OG0000304	OG0000304	2	2	3	3	1
OG0000305	OG0000305	2	3	3	3	0
OG0000306	OG0000306	1	2	1	5	2
OG0000307	OG0000307	3	1	3	3	1
OG0000308	OG0000308	3	1	3	3	1
OG0000309	OG0000309	2	3	2	3	1
OG0000310	OG0000310	1	2	2	5	1
OG0000311	OG0000311	1	3	3	3	1
OG0000312	OG0000312	0	1	0	0	9
OG0000313	OG0000313	2	2	2	3	1
OG0000314	OG0000314	1	1	3	3	2
OG0000315	OG0000315	2	2	2	2	2
OG0000316	OG0000316	2	1	3	2	2
OG0000317	OG0000317	2	2	3	3	0
OG0000318	OG0000318	2	2	2	3	1
OG0000319	OG0000319	2	2	2	3	1
OG0000320	OG0000320	2	2	2	3	1
OG0000321	OG0000321	2	2	2	3	1
OG0000322	OG0000322	2	2	2	2	2
OG0000323	OG0000323	2	2	2	2	2
OG0000324	OG0000324	2	2	2	2	2
OG0000325	OG0000325	2	2	2	2	2
OG0000326	OG0000326	2	2	2	4	0
OG0000327	OG0000327	2	2	2	3	1
OG0000328	OG0000328	2	1	2	3	2
OG0000329	OG0000329	2	2	2	3	1
OG0000330	OG0000330	2	2	2	3	1
OG0000331	OG0000331	2	2	1	1	4
OG0000332	OG0000332	2	2	2	2	2
OG0000333	OG0000333	2	2	2	3	1
OG0000334	OG0000334	2	2	1	4	1
OG0000335	OG0000335	2	3	1	3	1
OG0000336	OG0000336	3	1	2	2	2
