sample1	sample2	seqid1	seqid2	n_anchors	lis_forward	lis_reverse	orientation
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	NC_068938.1	5882	49	5069	reverse
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	NC_068939.1	5020	37	4583	reverse
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	NC_068937.1	3308	390	2481	reverse
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	CM044969.1	5612	4903	46	forward
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	CM044970.1	5097	92	4220	reverse
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	CM044968.1	3053	2411	258	forward
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	OZ004312.1	6232	44	5569	reverse
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	OZ004313.1	5551	5081	32	forward
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	OZ004311.1	3474	272	2789	reverse
Cx_pallens	Cx_molestus	NC_068938.1	CM044969.1	5298	48	4438	reverse
Cx_pallens	Cx_molestus	NC_068939.1	CM044970.1	4616	3909	86	forward
Cx_pallens	Cx_molestus	NC_068937.1	CM044968.1	2894	159	2291	reverse
Cx_pallens	Cx_pipiens	NC_068938.1	OZ004312.1	5724	5020	45	forward
Cx_pallens	Cx_pipiens	NC_068939.1	OZ004313.1	4925	36	4499	reverse
Cx_pallens	Cx_pipiens	NC_068937.1	OZ004311.1	3233	2671	168	forward
Cx_molestus	Cx_pipiens	CM044969.1	OZ004312.1	5506	41	4770	reverse
Cx_molestus	Cx_pipiens	CM044970.1	OZ004313.1	5055	91	4207	reverse
Cx_molestus	Cx_pipiens	CM044968.1	OZ004311.1	2994	48	2597	reverse
