sample1	sample2	seqid	start_bp	end_bp	span_bp	n_genes
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	8960193	9437673	477479	12
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	18311823	18432824	121001	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	27702505	28072601	370096	9
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	31418051	31541025	122974	6
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	45284720	45449945	165225	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	47622216	47741376	119160	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	52393496	52642174	248678	13
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	55621646	55756850	135203	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	58508340	58767425	259085	7
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	58996722	59344898	348176	4
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	62627758	62755675	127917	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	63773108	64038270	265162	5
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	64129334	64268480	139145	4
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	74007441	74196262	188821	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	76293912	76425514	131602	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	103689997	104712885	1022888	5
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	109831260	110108479	277219	4
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	113682849	114135654	452804	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	114316993	114430909	113916	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	125998723	126277380	278657	7
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	148455818	148592023	136204	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	164266994	164464126	197132	4
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	164534201	164660410	126209	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	209608010	209769578	161568	3
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	211533447	211647385	113938	10
Cx_quinquefasciatus	Cx_pallens	NC_051862.1	216885186	217118481	233295	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	32261535	32419960	158425	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	59006210	59133967	127757	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	70705942	70977162	271220	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	84227710	84782895	555185	5
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	85389435	85621575	232139	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	88084627	88315505	230877	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	100047397	101554333	1506935	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	102936771	103803827	867055	4
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	122092840	122248746	155906	3
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	178234366	178553802	319436	4
Cx_quinquefasciatus	Cx_pallens	NC_051863.1	182822731	183002434	179703	5
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	16621291	16907861	286570	11
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	28098348	28267539	169190	9
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	29004716	29141675	136958	6
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	29158315	29686351	528035	8
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	29828253	30865272	1037019	13
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	30972231	31619506	647275	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	31718804	31842378	123574	8
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	31854510	32599801	745290	27
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	32613049	33413042	799993	34
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	33596433	33714556	118123	7
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	33715596	33991185	275589	9
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	34277208	35017568	740360	13
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	35050808	35258742	207934	8
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	35260235	36717645	1457410	18
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	36743764	38016024	1272260	25
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	38307149	39269420	962271	12
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	39411371	41225871	1814500	47
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	41467541	41942466	474925	9
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	42047558	43541971	1494413	22
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	43574478	43752759	178281	11
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	43769441	43901822	132381	7
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	43913314	44117539	204225	10
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	44529957	45445266	915308	16
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	45454387	45926746	472359	7
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	46100548	46752350	651801	4
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	46966586	47589777	623191	13
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	47772761	48149080	376319	7
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	48226319	49281054	1054735	16
